Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12
25.468441,Wed 05/29/19 05:48:14.622 PM,1,18.169889,16.87052,32.058578,27.703125,0.094437,82,82,67.378906,39.183594
25.417231,Wed 05/29/19 05:48:14.121 PM,1,18.190729,16.677475,26.743584,22.320312,0.097949,82,82,67.0625,39.214844
25.417231,Wed 05/29/19 05:48:15.622 PM,1,18.190729,16.677475,26.743584,22.320312,0.097949,82,82,67.0625,39.214844
25.358505,Wed 05/29/19 05:48:16.622 PM,1,18.260023,16.828405,3.494768,2.492188,0.088743,82,82,66.699219,39.183594
25.321938,Wed 05/29/19 05:48:17.622 PM,1,18.171724,16.833521,3.187518,2.375,0.095505,82,82,66.324219,39.167969
25.281563,Wed 05/29/19 05:48:18.622 PM,1,18.168055,16.695885,3.72615,3.023438,0.088446,82,82,65.96875,39.1875
25.263212,Wed 05/29/19 05:48:19.622 PM,1,18.329939,16.92835,12.304071,10.0625,0.096139,0,82,65.632812,39.1875
25.252201,Wed 05/29/19 05:48:20.622 PM,1,18.308498,17.147104,3.151205,2.382812,0.086891,0,82,65.273438,39.1875
25.219343,Wed 05/29/19 05:48:21.622 PM,1,18.398607,17.150698,3.65563,2.742188,0.090864,0,82,64.921875,39.191406
25.197321,Wed 05/29/19 05:48:22.622 PM,1,18.304401,17.108152,3.538618,2.640625,0.091678,0,82,64.578125,39.191406
25.171783,Wed 05/29/19 05:48:23.622 PM,1,18.326859,16.966805,10.689145,8.078125,0.091995,0,82,64.316406,39.203125
25.149914,Wed 05/29/19 05:48:24.622 PM,1,18.44215,17.047552,3.737912,2.773438,0.092147,0,82,63.988281,39.183594
25.135384,Wed 05/29/19 05:48:25.622 PM,1,18.442812,17.069216,3.204659,2.359375,0.090517,0,82,63.652344,39.203125
25.120705,Wed 05/29/19 05:48:26.622 PM,1,18.395317,17.188448,3.177262,2.40625,0.090937,0,82,63.328125,39.203125
25.117033,Wed 05/29/19 05:48:27.622 PM,1,18.44026,17.166973,3.303759,2.453125,0.092121,0,82,63.011719,39.21875
25.120857,Wed 05/29/19 05:48:28.622 PM,1,18.510614,17.069054,3.140506,2.382812,0.091578,0,82,62.703125,39.21875
25.113516,Wed 05/29/19 05:48:29.622 PM,1,18.441963,17.14645,3.328867,2.453125,0.090566,0,82,62.398438,39.203125
25.128389,Wed 05/29/19 05:48:30.622 PM,1,18.461161,16.968006,3.472407,2.609375,0.087531,0,82,62.105469,39.175781
25.135864,Wed 05/29/19 05:48:31.622 PM,1,18.323593,16.967766,3.657219,2.765625,0.087185,0,82,61.820312,39.207031
25.172432,Wed 05/29/19 05:48:32.622 PM,1,18.392403,17.08777,3.158812,2.367188,0.087951,0,82,61.527344,39.195312
25.136013,Wed 05/29/19 05:48:33.622 PM,1,18.371284,17.085335,3.244791,2.492188,0.087038,0,82,61.242188,39.175781
25.128674,Wed 05/29/19 05:48:34.622 PM,1,18.46438,17.104576,3.503689,2.523438,0.085284,0,82,60.957031,39.175781
25.110495,Wed 05/29/19 05:48:35.622 PM,1,18.465609,17.127525,6.076618,4.601562,0.083334,0,82,60.710938,39.144531
25.103287,Wed 05/29/19 05:48:36.622 PM,1,18.513567,17.229662,4.027685,2.953125,0.084719,0,82,60.445312,39.144531
25.121639,Wed 05/29/19 05:48:37.622 PM,1,18.485523,17.029812,3.079755,2.351562,0.086568,0,82,60.171875,39.132812
25.114298,Wed 05/29/19 05:48:38.622 PM,1,18.462864,17.088823,3.123574,2.359375,0.087555,0,82,59.902344,39.121094
25.132973,Wed 05/29/19 05:48:39.622 PM,1,18.437241,17.149307,3.214668,2.398438,0.087704,0,82,59.636719,39.132812
25.129303,Wed 05/29/19 05:48:40.622 PM,1,18.507475,17.212444,5.087874,3.929688,0.09244,0,82,59.402344,39.113281
25.118464,Wed 05/29/19 05:48:41.622 PM,1,18.44026,17.028765,4.77,3.476562,0.09338,0,82,59.15625,39.113281
25.122288,Wed 05/29/19 05:48:42.622 PM,1,18.321264,16.910936,3.146332,2.359375,0.094293,0,82,58.914062,39.085938
25.122288,Wed 05/29/19 05:48:43.622 PM,1,18.508427,16.989307,3.150994,2.375,0.093033,0,82,58.671875,39.085938
25.12244,Wed 05/29/19 05:48:44.622 PM,1,18.322382,16.988665,3.253133,2.421875,0.095402,0,82,58.441406,39.085938
